,target,ert,fid,dim,algorithm
10,0.0,992.0666666666667,5,10,32L
11,-0.20000000000000015,1007.8666666666667,5,10,32L
12,-0.40000000000000036,1011.0,5,10,32L
13,-0.6000000000000001,1011.0,5,10,32L
14,-0.8000000000000003,1011.0,5,10,32L
15,-1.0,1011.0,5,10,32L
16,-1.2000000000000002,1011.0,5,10,32L
17,-1.4000000000000004,1011.0,5,10,32L
18,-1.6,1011.0,5,10,32L
19,-1.8000000000000003,1011.0,5,10,32L
20,-2.0,1011.0,5,10,32L
21,-2.2,1011.0,5,10,32L
22,-2.4000000000000004,1011.0,5,10,32L
23,-2.6000000000000005,1011.0,5,10,32L
24,-2.8000000000000007,1011.0,5,10,32L
25,-3.0,1011.0,5,10,32L
26,-3.2,1011.0,5,10,32L
27,-3.4000000000000004,1011.0,5,10,32L
28,-3.6000000000000005,1011.0,5,10,32L
29,-3.8000000000000007,1011.0,5,10,32L
30,-4.0,1011.0,5,10,32L
31,-4.2,1011.0,5,10,32L
32,-4.4,1011.0,5,10,32L
33,-4.6000000000000005,1011.0,5,10,32L
34,-4.800000000000001,1011.0,5,10,32L
35,-5.0,1011.0,5,10,32L
36,-5.2,1011.0,5,10,32L
37,-5.4,1011.0,5,10,32L
38,-5.6000000000000005,1011.0,5,10,32L
39,-5.800000000000001,1011.0,5,10,32L
40,-6.0,1011.0,5,10,32L
41,-6.200000000000001,1011.0,5,10,32L
42,-6.4,1011.0,5,10,32L
43,-6.6,1011.0,5,10,32L
44,-6.800000000000001,1011.0,5,10,32L
45,-7.0,1011.0,5,10,32L
46,-7.200000000000001,1011.0,5,10,32L
47,-7.4,1011.0,5,10,32L
48,-7.600000000000001,1011.0,5,10,32L
49,-7.800000000000001,1011.0,5,10,32L
50,-8.0,1011.0,5,10,32L
0,2.0,527.1333333333333,5,10,64L
1,1.8,664.5333333333333,5,10,64L
2,1.6,716.6,5,10,64L
3,1.4,1132.6,5,10,64L
4,1.2,1297.6666666666667,5,10,64L
5,1.0,1350.6,5,10,64L
6,0.7999999999999998,1507.2,5,10,64L
7,0.5999999999999999,1563.8,5,10,64L
8,0.3999999999999999,1612.2666666666667,5,10,64L
9,0.19999999999999998,1652.4,5,10,64L
10,0.0,1652.4,5,10,64L
11,-0.20000000000000015,1652.4,5,10,64L
12,-0.40000000000000036,1652.4,5,10,64L
13,-0.6000000000000001,1723.4,5,10,64L
14,-0.8000000000000003,1723.4,5,10,64L
15,-1.0,1723.4,5,10,64L
16,-1.2000000000000002,1774.4,5,10,64L
17,-1.4000000000000004,1774.4,5,10,64L
18,-1.6,1774.4,5,10,64L
19,-1.8000000000000003,1774.4,5,10,64L
20,-2.0,1774.4,5,10,64L
21,-2.2,1774.4,5,10,64L
22,-2.4000000000000004,1774.4,5,10,64L
23,-2.6000000000000005,1774.4,5,10,64L
24,-2.8000000000000007,1774.4,5,10,64L
25,-3.0,1774.4,5,10,64L
26,-3.2,1774.4,5,10,64L
27,-3.4000000000000004,1774.4,5,10,64L
28,-3.6000000000000005,1774.4,5,10,64L
29,-3.8000000000000007,1774.4,5,10,64L
30,-4.0,1774.4,5,10,64L
31,-4.2,1774.4,5,10,64L
32,-4.4,1774.4,5,10,64L
33,-4.6000000000000005,1774.4,5,10,64L
34,-4.800000000000001,1774.4,5,10,64L
35,-5.0,1774.4,5,10,64L
36,-5.2,1774.4,5,10,64L
37,-5.4,1774.4,5,10,64L
38,-5.6000000000000005,1774.4,5,10,64L
39,-5.800000000000001,1774.4,5,10,64L
40,-6.0,1774.4,5,10,64L
41,-6.200000000000001,1774.4,5,10,64L
42,-6.4,1774.4,5,10,64L
43,-6.6,1774.4,5,10,64L
44,-6.800000000000001,1774.4,5,10,64L
45,-7.0,1774.4,5,10,64L
46,-7.200000000000001,1774.4,5,10,64L
47,-7.4,1774.4,5,10,64L
48,-7.600000000000001,1774.4,5,10,64L
49,-7.800000000000001,1774.4,5,10,64L
50,-8.0,1774.4,5,10,64L
0,2.0,69.0,6,10,VBS
1,1.8,168.0,6,10,VBS
2,1.6,325.0,6,10,VBS
3,1.4,408.0,6,10,VBS
4,1.2,564.0,6,10,VBS
5,1.0,716.0,6,10,VBS
6,0.7999999999999998,1000.0,6,10,VBS
7,0.5999999999999999,1112.0,6,10,VBS
8,0.3999999999999999,1160.0,6,10,VBS
9,0.19999999999999998,1295.0,6,10,VBS
10,0.0,1295.0,6,10,VBS
11,-0.20000000000000015,1443.0,6,10,VBS
12,-0.40000000000000036,1527.0,6,10,VBS
13,-0.6000000000000001,1614.0,6,10,VBS
14,-0.8000000000000003,1690.0,6,10,VBS
15,-1.0,1690.0,6,10,VBS
16,-1.2000000000000002,1858.0,6,10,VBS
17,-1.4000000000000004,1928.0,6,10,VBS
18,-1.6,1928.0,6,10,VBS
19,-1.8000000000000003,2109.0,6,10,VBS
20,-2.0,2109.0,6,10,VBS
21,-2.2,2189.0,6,10,VBS
22,-2.4000000000000004,2350.0,6,10,VBS
23,-2.6000000000000005,2439.0,6,10,VBS
24,-2.8000000000000007,2512.0,6,10,VBS
25,-3.0,2512.0,6,10,VBS
26,-3.2,2567.0,6,10,VBS
27,-3.4000000000000004,2743.0,6,10,VBS
28,-3.6000000000000005,2788.0,6,10,VBS
29,-3.8000000000000007,2902.0,6,10,VBS
30,-4.0,2902.0,6,10,VBS
31,-4.2,2961.0,6,10,VBS
32,-4.4,3073.0,6,10,VBS
33,-4.6000000000000005,3206.0,6,10,VBS
34,-4.800000000000001,3276.0,6,10,VBS
35,-5.0,3276.0,6,10,VBS
36,-5.2,3359.0,6,10,VBS
37,-5.4,3414.0,6,10,VBS
38,-5.6000000000000005,3598.0,6,10,VBS
39,-5.800000000000001,3646.0,6,10,VBS
40,-6.0,3646.0,6,10,VBS
41,-6.200000000000001,3852.0,6,10,VBS
42,-6.4,3852.0,6,10,VBS
43,-6.6,3940.0,6,10,VBS
44,-6.800000000000001,4116.0,6,10,VBS
45,-7.0,4116.0,6,10,VBS
46,-7.200000000000001,4284.0,6,10,VBS
47,-7.4,4284.0,6,10,VBS
48,-7.600000000000001,4416.0,6,10,VBS
49,-7.800000000000001,4503.0,6,10,VBS
50,-8.0,4503.0,6,10,VBS
0,2.0,512.2,6,10,GRS
1,1.8,587.1333333333333,6,10,GRS
2,1.6,665.6,6,10,GRS
3,1.4,700.6,6,10,GRS
4,1.2,794.4,6,10,GRS
5,1.0,889.4,6,10,GRS
6,0.7999999999999998,1207.4,6,10,GRS
7,0.5999999999999999,1285.8,6,10,GRS
8,0.3999999999999999,1398.6666666666667,6,10,GRS
9,0.19999999999999998,1473.9333333333334,6,10,GRS
10,0.0,1473.9333333333334,6,10,GRS
11,-0.20000000000000015,1918.4,6,10,GRS
12,-0.40000000000000036,2174.8,6,10,GRS
13,-0.6000000000000001,2355.5333333333333,6,10,GRS
14,-0.8000000000000003,2669.733333333333,6,10,GRS
15,-1.0,2669.733333333333,6,10,GRS
16,-1.2000000000000002,3135.133333333333,6,10,GRS
17,-1.4000000000000004,3202.9333333333334,6,10,GRS
18,-1.6,3202.9333333333334,6,10,GRS
19,-1.8000000000000003,3343.866666666667,6,10,GRS
20,-2.0,3343.866666666667,6,10,GRS
21,-2.2,3425.133333333333,6,10,GRS
