problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f05-d05-t-1.6,322.696,86.052,548.32,127.72,964.046,201.704,31.0,61.138,25.0,64.858
f05-d05-t-1.8,322.696,86.052,548.4,127.774,964.066,201.764,31.0,61.138,25.0,64.89
f05-d05-t-2.0,322.696,86.052,548.404,127.774,964.404,201.892,31.0,61.138,25.0,64.918
f05-d05-t-2.2,322.696,86.052,548.404,127.774,964.418,201.906,31.0,61.138,25.0,64.922
f05-d05-t-2.4,322.824,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.922
f05-d05-t-2.6,322.828,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-2.8,322.828,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-3.0,322.828,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-3.2,323.0,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-3.4,323.0,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-3.6,323.0,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-3.8,323.0,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-4.0,323.0,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-4.2,323.0,86.052,548.758,127.774,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-4.4,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-4.6,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-4.8,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-5.0,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-5.2,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-5.4,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-5.6,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-5.8,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-6.0,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-6.2,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-6.4,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-6.6,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-6.8,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-7.0,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-7.2,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-7.4,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
f05-d05-t-7.6,323.0,86.052,548.758,127.792,964.582,201.906,31.0,61.138,25.0,64.924
